to,from,sim_score
0hjAMjQvYeC6RHmrCEy9z5,2n0U2OG5d6TuW5mKx7YrC0,1
0jZmx4t0Fg4SJxJj0jnAdU,0SWcUpvp1XvKDKJAcOqDNl,-5
0jZmx4t0Fg4SJxJj0jnAdU,1qrp8PDu28yMFOItAOynx3,-1
0jZmx4t0Fg4SJxJj0jnAdU,51UB3HmLDQlH7I7yXJBqkq,-5
0jZmx4t0Fg4SJxJj0jnAdU,0Hxty2K8F2DrrCXQyQVpBo,-7
0jZmx4t0Fg4SJxJj0jnAdU,0hjAMjQvYeC6RHmrCEy9z5,-3
0jZmx4t0Fg4SJxJj0jnAdU,59yBn1TCeZLaDM5C9qoE2S,-5
0jZmx4t0Fg4SJxJj0jnAdU,2XySnpJ0uMOJ4pXd73Juyf,-3
0jZmx4t0Fg4SJxJj0jnAdU,76A0fsNkEToPHjjmrFsc4Y,-1
0jZmx4t0Fg4SJxJj0jnAdU,0SGC6p2Vl7AYKYWtbV1jIG,-3
0jZmx4t0Fg4SJxJj0jnAdU,2JAUBPBVkimRLc5BGhAkfJ,1
0jZmx4t0Fg4SJxJj0jnAdU,341863z079BT4EFPiSw9DP,-1
0jZmx4t0Fg4SJxJj0jnAdU,2n0U2OG5d6TuW5mKx7YrC0,-1
59yBn1TCeZLaDM5C9qoE2S,0SWcUpvp1XvKDKJAcOqDNl,3
59yBn1TCeZLaDM5C9qoE2S,1qrp8PDu28yMFOItAOynx3,1
59yBn1TCeZLaDM5C9qoE2S,51UB3HmLDQlH7I7yXJBqkq,3
59yBn1TCeZLaDM5C9qoE2S,0Hxty2K8F2DrrCXQyQVpBo,3
59yBn1TCeZLaDM5C9qoE2S,0hjAMjQvYeC6RHmrCEy9z5,1
59yBn1TCeZLaDM5C9qoE2S,0jZmx4t0Fg4SJxJj0jnAdU,-5
59yBn1TCeZLaDM5C9qoE2S,2XySnpJ0uMOJ4pXd73Juyf,-1
59yBn1TCeZLaDM5C9qoE2S,76A0fsNkEToPHjjmrFsc4Y,3
59yBn1TCeZLaDM5C9qoE2S,0SGC6p2Vl7AYKYWtbV1jIG,1
59yBn1TCeZLaDM5C9qoE2S,2JAUBPBVkimRLc5BGhAkfJ,-1
59yBn1TCeZLaDM5C9qoE2S,341863z079BT4EFPiSw9DP,-1
59yBn1TCeZLaDM5C9qoE2S,2n0U2OG5d6TuW5mKx7YrC0,3
2XySnpJ0uMOJ4pXd73Juyf,0SWcUpvp1XvKDKJAcOqDNl,-1
2XySnpJ0uMOJ4pXd73Juyf,1qrp8PDu28yMFOItAOynx3,-3
2XySnpJ0uMOJ4pXd73Juyf,51UB3HmLDQlH7I7yXJBqkq,1
2XySnpJ0uMOJ4pXd73Juyf,0Hxty2K8F2DrrCXQyQVpBo,1
2XySnpJ0uMOJ4pXd73Juyf,0hjAMjQvYeC6RHmrCEy9z5,3
2XySnpJ0uMOJ4pXd73Juyf,0jZmx4t0Fg4SJxJj0jnAdU,-3
2XySnpJ0uMOJ4pXd73Juyf,59yBn1TCeZLaDM5C9qoE2S,-1
2XySnpJ0uMOJ4pXd73Juyf,76A0fsNkEToPHjjmrFsc4Y,-1
2XySnpJ0uMOJ4pXd73Juyf,0SGC6p2Vl7AYKYWtbV1jIG,-1
2XySnpJ0uMOJ4pXd73Juyf,2JAUBPBVkimRLc5BGhAkfJ,-3
2XySnpJ0uMOJ4pXd73Juyf,341863z079BT4EFPiSw9DP,-3
2XySnpJ0uMOJ4pXd73Juyf,2n0U2OG5d6TuW5mKx7YrC0,-1
76A0fsNkEToPHjjmrFsc4Y,0SWcUpvp1XvKDKJAcOqDNl,1
76A0fsNkEToPHjjmrFsc4Y,1qrp8PDu28yMFOItAOynx3,1
